yr,mnth,hr,holiday,weekday,workingday,temp,hum,windspeed,cnt,weather_1,weather_2,weather_3,season_1,season_2,season_3,season_4,hr_sin,hr_cos,mnth_sin,mnth_cos,is_rush_hour,is_night,cnt_lag_1,cnt_lag_3,cnt_lag_6,cnt_lag_12,cnt_lag_24,cnt_rolling_mean_3,cnt_rolling_mean_6,cnt_rolling_mean_12,cnt_rolling_mean_24,cnt_rolling_std_6,cnt_rolling_std_12,cnt_ewm_6h
0,1,0,0,6,0,0.24,0.81,0.0,2.833213344056216,1,0,0,1,0,0,0,0.0,1.0,0.0,1.0,0,1,,,,,,,,,,,,
0,1,1,0,6,0,0.22,0.8,0.0,3.713572066704308,1,0,0,1,0,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0,1,2.833213344056216,,,,,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,,,2.833213344056216
0,1,2,0,6,0,0.22,0.8,0.0,3.4965075614664802,1,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,3.713572066704308,,,,,3.273392705380262,,,,,,3.084744407669956
0,1,3,0,6,0,0.24,0.75,0.0,2.639057329615259,1,0,0,1,0,0,0,0.7071067811865475,0.7071067811865476,0.0,1.0,0,1,3.4965075614664802,2.833213344056216,,,,3.347764324075668,3.347764324075668,3.347764324075668,3.347764324075668,0.45864069066947116,0.45864069066947116,3.2023910230403914
0,1,4,0,6,0,0.24,0.75,0.0,0.6931471805599453,1,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,1,2.639057329615259,3.713572066704308,,,,3.2830456525953493,3.1705875754605657,3.1705875754605657,3.1705875754605657,0.5155585221464094,0.5155585221464094,3.0414385392046395
0,1,5,0,6,0,0.24,0.75,0.0896,0.6931471805599453,0,1,0,1,0,0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0,1,,,,,,,,,,,,
0,1,6,0,6,0,0.22,0.8,0.0,1.0986122886681096,1,0,0,1,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,0,0,0.6931471805599453,2.639057329615259,2.833213344056216,,,1.3417838969117166,2.344774110493692,2.344774110493692,2.344774110493692,1.3402250793296244,1.3402250793296244,1.8912550166031565
0,1,7,0,6,0,0.2,0.86,0.0,1.3862943611198906,1,0,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0,0,1.0986122886681096,0.6931471805599453,3.713572066704308,,,0.828302216596,2.0556739345956747,2.1667509930900377,2.1667509930900377,1.3995634496075846,1.3109849980190045,1.6647856657645717
0,1,8,0,6,0,0.24,0.75,0.0,2.1972245773362196,1,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,0,1.3862943611198906,0.6931471805599453,3.4965075614664802,,,1.0593512767826485,1.6677943169982716,2.0691939140937694,2.0691939140937694,1.1480965515007604,1.244706705285182,1.5852167215803772
0,1,9,0,6,0,0.32,0.76,0.0,2.70805020110221,1,0,0,1,0,0,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0,0,2.1972245773362196,1.0986122886681096,2.639057329615259,,,1.5607104090414066,1.4512471529765616,2.0834195433429303,2.0834195433429303,0.8056521187749316,1.1650983868999938,1.7600761089391892
0,1,10,0,6,0,0.38,0.76,0.2537,3.6109179126442243,1,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,0,2.70805020110221,1.3862943611198906,0.6931471805599453,,,2.097189713186107,1.4627459648910535,2.1458826091188583,2.1458826091188583,0.8262256631733829,1.1160834856271706,2.030925849557195
0,1,11,0,6,0,0.36,0.81,0.2836,4.04305126783455,1,0,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0,0,3.6109179126442243,2.1972245773362196,,,,2.8387308970275513,,,,,,2.4823521532963464
0,1,12,0,6,0,0.42,0.77,0.2836,4.442651256490317,1,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,4.04305126783455,2.70805020110221,1.0986122886681096,2.833213344056216,,3.4540064605269944,2.507358434784201,2.4260662726389466,2.4260662726389466,1.1793223948283234,1.206585108272462,2.9282661860215473
0,1,13,0,6,0,0.46,0.72,0.2985,4.553876891600541,0,1,0,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0,0,4.442651256490317,3.6109179126442243,,,,4.03220681232303,,,,,,3.36094763472691
0,1,14,0,6,0,0.46,0.72,0.2836,4.672828834461906,0,1,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,4.553876891600541,4.04305126783455,2.1972245773362196,3.4965075614664802,,4.346526471975136,3.5926286845013435,2.6302115007498075,2.7220945299827295,0.9570144412255023,1.4233434929569995,3.701784565262233
0,1,15,0,6,0,0.44,0.77,0.2985,4.709530201312334,0,1,0,1,0,0,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,0,4.672828834461906,4.442651256490317,2.70805020110221,2.639057329615259,,4.556452327517587,4.005229394022291,2.7282382734994264,2.852143483614675,0.7453357461264275,1.5252862448922582,3.979225785033568
0,1,16,0,6,0,0.42,0.82,0.2985,4.543294782270004,0,1,0,1,0,0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,4.709530201312334,4.553876891600541,3.6109179126442243,0.6931471805599453,,4.6454119757915935,4.338809394057312,2.900777679474183,2.9682301534707785,0.4297299017600749,1.6279324790701921,4.1878841896846435
0,1,17,0,6,0,0.44,0.82,0.2836,4.219507705176107,0,1,0,1,0,0,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0,0,4.543294782270004,4.672828834461906,4.04305126783455,0.6931471805599453,,4.641884606014748,4.494205538994942,3.2216233129500207,3.06088101398838,0.2410142885571366,1.5297276254145897,4.289430073280461
0,1,18,0,6,0,0.42,0.88,0.2537,3.58351893845611,0,0,1,1,0,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0,0,4.219507705176107,4.709530201312334,,,,4.490777562919481,,,,,,4.269452253822074
0,1,19,0,6,0,0.42,0.88,0.2537,3.6375861597263857,0,0,1,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0,0,3.58351893845611,4.543294782270004,4.553876891600541,1.3862943611198906,,4.11544047530074,4.380426225546167,3.7225622441503674,3.149368625338667,0.4269369994051041,1.0852661708177849,4.073471306574655
0,1,20,0,6,0,0.4,0.87,0.2537,3.6109179126442243,0,1,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,0,3.6375861597263857,4.219507705176107,4.672828834461906,2.1972245773362196,,3.8135376011195334,4.227711103567141,3.9101698940342424,3.173779502058053,0.5085608687760369,0.8024135765892001,3.948932693189435
0,1,21,0,6,0,0.4,0.87,0.194,3.5553480614894135,0,1,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0,0,3.6109179126442243,3.58351893845611,4.709530201312334,2.70805020110221,,3.6106743369422394,4.050725949930861,4.0279776719765765,3.1945956168478706,0.5074509561755127,0.6083785489229124,3.852357041605089
0,1,22,0,6,0,0.4,0.94,0.2239,3.367295829986474,0,1,0,1,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0,,,,,,,,,,,,
0,1,23,0,6,0,0.46,0.88,0.2985,3.6888794541139363,0,1,0,1,0,0,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,0,0,3.367295829986474,3.6109179126442243,,,,3.5111872680400373,,,,,,3.653154046425143
